Frame,Visibility,X,Y
0,1,437,180
1,1,440,173
2,1,440,172
3,1,440,165
4,1,442,161
5,1,445,157
6,1,445,154
7,1,447,152
8,1,447,152
9,1,450,150
10,1,450,152
11,1,452,154
12,1,455,156
13,1,455,160
14,1,455,160
15,1,455,165
16,1,457,169
17,1,457,177
18,1,457,188
19,1,457,191
20,1,457,196
21,1,455,200
22,1,450,206
23,1,433,210
24,1,420,217
25,1,400,225
26,1,385,226
27,1,385,225
28,1,370,219
29,1,357,214
30,1,345,210
31,1,335,210
32,1,322,206
33,1,322,206
34,1,312,206
35,1,302,210
36,1,291,211
37,1,282,214
38,1,276,210
39,1,276,210
40,1,270,204
41,1,262,200
42,1,256,198
43,1,250,195
44,1,245,195
45,1,245,195
46,1,251,191
47,1,266,187
48,1,280,182
49,1,290,181
50,1,301,180
51,1,301,180
52,1,313,180
53,1,323,180
54,1,335,180
55,1,345,181
56,1,355,185
57,1,355,185
58,1,362,190
59,1,373,193
60,1,380,191
61,1,385,185
62,1,390,181
63,1,390,181
64,1,395,178
65,1,400,176
66,1,403,175
67,1,387,176
68,1,350,181
69,1,350,181
70,1,315,190
71,1,280,200
72,1,246,214
73,1,221,222
74,1,175,220
75,1,175,220
76,1,140,226
77,1,103,232
78,1,84,241
79,1,77,243
80,1,84,238
81,1,106,227
82,1,156,211
83,1,206,200
84,1,251,193
85,1,291,190
86,1,327,190
87,1,327,190
88,1,360,190
89,1,387,195
90,1,417,185
91,1,441,172
92,1,417,172
93,1,408,172
94,1,396,176
95,1,375,180
96,1,352,185
97,1,332,190
98,1,311,195
99,1,311,197
100,1,292,206
101,1,272,206
102,1,255,203
103,1,235,201
104,1,217,203
105,1,217,203
106,1,200,206
107,1,180,210
108,1,165,212
109,1,146,219
110,1,130,226
111,1,130,226
112,1,115,235
113,1,100,245
114,1,85,255
115,1,97,248
116,1,143,235
117,1,185,223
118,1,220,206
119,1,265,195
120,1,305,190
121,1,340,187
122,1,370,185
123,1,370,185
124,1,400,190
125,1,420,185
126,1,457,172
127,1,485,165
128,1,507,161
129,1,507,161
130,1,530,160
131,1,508,155
132,1,467,149
133,1,425,147
134,1,390,148
135,1,387,149
136,1,352,152
137,1,320,160
138,1,285,166
139,1,252,180
140,1,220,191
141,1,220,191
142,1,190,206
143,1,157,225
144,1,136,237
145,1,128,251
146,1,103,268
147,1,74,291
148,1,41,307
